Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Team_Rank,Made_Playoffs,TS%,EFF,Nominated
Kyshawn George,WAS,19.0,26.2,2.6,7.8,0.336,1.3,0.247,1.4,0.5,0.416,1.0,1.4,0.731,0.7,3.4,4.1,2.6,0.7,0.7,1.0,7.5,2024-25,30,0,0.45,0.47,0
Jordan Miller,LAC,13.0,15.1,2.9,6.2,0.475,0.4,0.263,2.5,0.541,0.506,1.3,1.7,0.773,1.1,1.2,2.2,1.2,0.4,0.2,1.0,7.5,2024-25,10,0,0.54,0.52,0
Kyle Filipowski,UTA,14.0,19.0,2.8,5.4,0.513,0.6,0.3,2.1,0.652,0.572,1.1,2.1,0.517,0.9,3.8,4.7,2.1,0.6,0.1,1.0,7.3,2024-25,28,0,0.58,0.73,0
Jeremiah Robinson-Earl,NOP,23.0,20.5,2.7,6.2,0.441,0.8,0.322,1.9,0.524,0.507,1.0,1.1,0.88,2.2,3.0,5.2,1.2,0.7,0.1,0.9,7.3,2024-25,29,0,0.55,0.43,0
Haywood Highsmith,MIA,18.0,25.3,2.7,5.4,0.5,1.3,0.426,1.4,0.591,0.617,0.5,0.7,0.692,0.8,2.2,2.9,1.2,1.2,0.8,0.6,7.2,2024-25,11,0,0.63,0.54,0
Tyrese Martin,BRK,9.0,14.7,2.4,4.9,0.5,1.9,0.515,0.6,0.455,0.693,0.4,0.6,0.8,0.4,1.8,2.2,1.1,0.3,0.2,0.4,7.2,2024-25,20,0,0.7,0.88,0
Josh Green,CHO,20.0,27.0,2.6,6.0,0.425,1.5,0.455,1.1,0.389,0.55,0.4,0.7,0.615,1.0,1.7,2.6,1.7,0.7,0.3,0.8,7.0,2024-25,26,0,0.55,0.39,0
Isaiah Jackson,IND,5.0,16.8,2.8,4.6,0.609,0.0,,2.8,0.609,0.609,1.4,2.8,0.5,2.2,3.4,5.6,1.0,0.6,1.6,1.0,7.0,2024-25,21,0,0.6,2.32,0
Sam Merrill,CLE,19.0,19.8,2.4,6.0,0.395,1.9,0.356,0.5,0.692,0.553,0.4,0.4,0.875,0.3,1.6,1.9,1.8,0.6,0.3,0.5,7.0,2024-25,1,0,0.57,0.39,0
JT Thor,CLE,2.0,7.0,2.5,2.5,1.0,1.0,1.0,1.5,1.0,1.2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,2024-25,1,0,1.19,4.5,0
Quenton Jackson,IND,14.0,17.1,2.7,5.2,0.521,0.6,0.391,2.1,0.58,0.582,0.9,1.2,0.706,0.7,1.2,1.9,2.0,0.6,0.4,0.8,6.9,2024-25,21,0,0.6,0.59,0
Kevin Love,MIA,10.0,12.5,2.4,6.4,0.375,1.5,0.395,0.9,0.346,0.492,0.6,0.9,0.667,1.2,4.2,5.4,1.4,1.3,0.2,0.7,6.9,2024-25,11,0,0.51,1.02,0
Cason Wallace,OKC,22.0,26.2,2.9,6.7,0.426,0.9,0.299,2.0,0.531,0.493,0.3,0.3,0.857,1.2,2.0,3.3,2.1,1.7,0.7,0.4,6.9,2024-25,3,0,0.5,0.48,0
Malaki Branham,SAS,17.0,12.7,2.4,5.2,0.461,0.9,0.421,1.5,0.49,0.551,1.0,1.2,0.85,0.2,1.5,1.7,1.2,0.4,0.1,1.2,6.8,2024-25,18,0,0.59,0.35,0
Keon Ellis,SAC,21.0,20.7,2.2,4.6,0.479,1.4,0.441,0.8,0.571,0.635,1.0,1.2,0.8,0.8,1.2,2.0,0.9,1.0,0.9,0.9,6.8,2024-25,19,0,0.66,0.39,0
Davion Mitchell,TOR,23.0,27.7,2.6,6.8,0.382,0.9,0.26,1.7,0.5,0.446,0.7,1.1,0.654,0.5,1.7,2.3,5.2,0.9,0.2,2.0,6.8,2024-25,27,0,0.47,0.38,0
Brandon Clarke,MEM,22.0,18.0,3.0,5.1,0.593,0.0,0.063,3.0,0.68,0.597,0.5,0.9,0.632,1.5,3.1,4.6,0.8,0.7,0.4,0.4,6.7,2024-25,4,0,0.61,0.47,0
Luke Kennard,MEM,14.0,19.7,2.2,5.1,0.431,1.5,0.404,0.7,0.5,0.576,0.8,1.0,0.786,0.5,1.9,2.4,2.9,0.6,0.1,0.7,6.7,2024-25,4,0,0.6,0.64,0
Elfrid Payton,NOP,7.0,20.6,3.3,6.6,0.5,0.0,0.0,3.3,0.511,0.5,0.1,0.3,0.5,0.7,2.7,3.4,6.9,1.4,0.4,2.9,6.7,2024-25,29,0,0.5,1.77,0
Kris Dunn,LAC,24.0,22.6,2.7,6.0,0.441,1.0,0.329,1.7,0.547,0.521,0.2,0.4,0.5,0.8,3.1,3.9,2.6,1.5,0.3,1.1,6.5,2024-25,10,0,0.53,0.43,0
Javonte Green,NOP,23.0,24.0,2.2,5.3,0.421,0.7,0.315,1.5,0.507,0.492,1.3,1.7,0.769,1.0,2.3,3.4,0.9,1.2,0.7,0.6,6.5,2024-25,29,0,0.54,0.37,0
Jaden Hardy,DAL,22.0,14.5,2.4,6.0,0.391,0.8,0.305,1.5,0.459,0.459,1.0,1.1,0.88,0.2,1.2,1.4,1.2,0.6,0.0,1.4,6.5,2024-25,5,0,0.5,0.21,0
Jonathan Isaac,ORL,21.0,16.9,2.4,5.4,0.442,0.8,0.293,1.6,0.6,0.518,0.9,1.3,0.679,1.8,3.0,4.7,0.2,0.9,1.4,0.4,6.5,2024-25,7,0,0.54,0.47,0
Simone Fontecchio,DET,22.0,18.0,2.1,5.3,0.397,1.2,0.333,0.9,0.526,0.509,1.0,1.3,0.786,0.5,2.5,3.1,0.8,0.3,0.2,0.7,6.4,2024-25,23,0,0.54,0.3,0
Jaxson Hayes,LAL,11.0,17.5,2.4,3.3,0.722,0.0,,2.4,0.722,0.722,1.6,2.1,0.783,1.9,2.6,4.5,0.8,0.4,0.8,0.7,6.4,2024-25,13,0,0.76,0.98,0
Terance Mann,LAC,23.0,21.0,2.4,5.6,0.438,0.7,0.34,1.7,0.494,0.5,0.7,1.0,0.667,1.0,2.0,3.1,1.7,1.0,0.2,0.6,6.3,2024-25,10,0,0.52,0.36,0
Vasilije Micić,CHO,11.0,19.5,2.4,7.1,0.333,1.0,0.333,1.4,0.333,0.404,0.5,0.8,0.667,0.7,2.0,2.7,3.1,0.5,0.0,1.7,6.3,2024-25,26,0,0.42,0.54,0
Neemias Queta,BOS,18.0,18.2,2.7,4.2,0.64,0.0,0.0,2.7,0.658,0.64,0.9,1.2,0.773,1.9,3.3,5.3,0.8,0.2,1.0,0.7,6.3,2024-25,2,0,0.67,0.62,0
Marcus Sasser,DET,16.0,13.2,2.6,4.8,0.539,0.8,0.406,1.8,0.636,0.625,0.4,0.4,1.0,0.4,0.7,1.1,1.5,0.8,0.1,0.8,6.3,2024-25,23,0,0.63,0.43,0
Isaiah Stewart,DET,24.0,21.8,2.4,4.4,0.552,0.2,0.25,2.2,0.624,0.576,1.2,1.4,0.879,2.4,3.8,6.2,1.9,0.5,1.4,1.2,6.3,2024-25,23,0,0.63,0.54,0
Zach Collins,SAS,22.0,14.9,2.2,4.6,0.475,0.5,0.343,1.6,0.545,0.535,1.3,1.4,0.903,1.1,2.3,3.4,1.9,0.5,0.5,1.0,6.2,2024-25,18,0,0.59,0.41,0
Bones Hyland,LAC,9.0,8.4,1.8,5.1,0.348,1.4,0.419,0.3,0.2,0.489,1.1,1.3,0.833,0.2,0.9,1.1,0.7,0.7,0.2,1.1,6.1,2024-25,10,0,0.54,0.47,0
Jamison Battle,TOR,22.0,14.0,2.1,4.4,0.474,1.4,0.425,0.7,0.625,0.634,0.4,0.5,0.818,0.6,1.5,2.1,1.0,0.1,0.2,0.4,6.0,2024-25,27,0,0.65,0.3,0
Ryan Dunn,PHO,19.0,17.8,2.4,5.8,0.409,1.2,0.31,1.2,0.59,0.509,0.1,0.4,0.25,0.6,2.1,2.7,0.8,0.5,0.5,0.5,6.0,2024-25,14,0,0.5,0.33,0
Pelle Larsson,MIA,15.0,16.3,2.3,4.2,0.54,0.7,0.379,1.5,0.676,0.627,0.7,1.3,0.55,0.7,1.3,2.0,1.5,0.6,0.0,0.5,6.0,2024-25,11,0,0.63,0.47,0
Dariq Whitehead,BRK,3.0,8.7,2.0,3.7,0.545,2.0,0.6,0.0,0.0,0.818,0.0,0.0,,0.0,1.0,1.0,0.3,0.7,0.3,1.0,6.0,2024-25,20,0,0.81,1.87,0
Isaac Okoro,CLE,21.0,20.9,2.1,4.5,0.479,1.2,0.463,1.0,0.5,0.612,0.5,0.8,0.647,0.9,1.4,2.3,1.8,0.7,0.4,0.3,6.0,2024-25,1,0,0.62,0.39,0
Ausar Thompson,DET,5.0,15.2,2.4,5.8,0.414,0.6,0.333,1.8,0.45,0.466,0.6,1.4,0.429,1.2,1.8,3.0,2.8,0.4,0.6,1.6,6.0,2024-25,23,0,0.47,1.4,0
James Wiseman,IND,1.0,5.0,2.0,4.0,0.5,0.0,0.0,2.0,0.667,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2024-25,21,0,0.61,5.0,0
Johnny Juzang,UTA,17.0,16.3,2.0,5.3,0.378,1.3,0.338,0.7,0.48,0.5,0.6,0.8,0.846,0.6,1.6,2.2,1.2,0.4,0.2,0.5,5.9,2024-25,28,0,0.52,0.35,0
KJ Martin,PHI,17.0,18.2,2.2,3.7,0.587,0.2,0.333,1.9,0.647,0.619,1.3,1.5,0.846,0.8,1.9,2.6,0.9,0.4,0.8,0.4,5.9,2024-25,25,0,0.68,0.5,0
Shake Milton,BRK,19.0,16.4,2.2,4.7,0.472,0.9,0.415,1.3,0.521,0.567,0.6,0.9,0.706,0.5,1.1,1.5,2.2,0.4,0.1,0.6,5.9,2024-25,20,0,0.58,0.35,0
Lindy Waters III,GSW,17.0,17.1,2.2,5.3,0.411,1.3,0.355,0.9,0.536,0.533,0.2,0.3,0.8,0.5,2.0,2.5,1.3,0.5,0.3,0.2,5.9,2024-25,9,0,0.54,0.42,0
Cam Whitmore,HOU,8.0,9.9,2.3,6.0,0.375,0.1,0.048,2.1,0.63,0.385,1.3,2.0,0.625,0.5,0.9,1.4,0.5,0.1,0.1,0.4,5.9,2024-25,6,0,0.43,0.4,0
Donovan Clingan,POR,17.0,17.0,2.4,4.5,0.526,0.2,0.333,2.2,0.552,0.546,0.9,1.3,0.727,3.2,3.5,6.7,0.3,0.5,2.2,1.0,5.8,2024-25,24,0,0.57,0.71,0
David Roddy,ATL,13.0,15.4,2.1,3.6,0.574,0.8,0.435,1.3,0.708,0.681,0.8,1.0,0.846,0.3,2.7,3.0,1.5,0.5,0.2,1.0,5.8,2024-25,17,0,0.72,0.64,0
Ben Sheppard,IND,13.0,20.9,2.2,5.1,0.424,1.5,0.404,0.7,0.474,0.568,0.0,0.0,,0.4,1.8,2.2,1.3,0.4,0.3,0.4,5.8,2024-25,21,0,0.57,0.52,0
Max Christie,LAL,21.0,18.3,1.8,4.3,0.418,0.5,0.268,1.3,0.54,0.478,1.5,1.8,0.865,0.7,1.4,2.1,1.2,0.7,0.4,0.6,5.7,2024-25,13,0,0.56,0.32,0
Keon Johnson,BRK,21.0,16.8,2.1,5.9,0.355,1.1,0.295,1.0,0.457,0.448,0.4,0.5,0.727,0.6,2.4,3.0,1.1,0.5,0.3,0.9,5.7,2024-25,20,0,0.47,0.28,0
Kyle Lowry,PHI,14.0,23.4,1.7,4.6,0.375,1.2,0.347,0.5,0.467,0.508,1.1,1.4,0.789,0.4,1.9,2.3,3.1,1.1,0.4,0.8,5.7,2024-25,25,0,0.55,0.61,0
Kenrich Williams,OKC,12.0,13.1,2.2,4.1,0.531,0.8,0.37,1.3,0.727,0.633,0.5,0.5,1.0,0.9,2.3,3.2,0.9,0.5,0.3,0.2,5.7,2024-25,3,0,0.66,0.71,0
Ron Holland,DET,24.0,15.8,2.2,5.2,0.416,0.4,0.18,1.8,0.573,0.452,0.9,1.2,0.786,0.6,2.5,3.0,0.7,0.5,0.2,1.0,5.6,2024-25,23,0,0.49,0.24,0
Ajay Mitchell,OKC,22.0,16.1,2.3,4.7,0.481,0.6,0.433,1.7,0.5,0.543,0.5,0.6,0.769,0.4,1.0,1.5,1.6,0.9,0.0,0.8,5.6,2024-25,3,0,0.56,0.29,0
Ja'Kobe Walter,TOR,9.0,17.7,2.2,6.9,0.323,0.6,0.172,1.7,0.455,0.363,0.6,0.9,0.625,1.1,2.8,3.9,1.3,0.4,0.2,0.9,5.6,2024-25,27,0,0.38,0.61,0
Jonathan Mogbo,TOR,23.0,15.9,2.0,4.0,0.495,0.2,0.313,1.8,0.532,0.522,1.3,1.8,0.714,2.2,2.0,4.2,1.7,0.9,0.4,0.9,5.5,2024-25,27,0,0.57,0.4,0
Day'Ron Sharpe,BRK,2.0,16.5,1.5,4.0,0.375,0.5,0.5,1.0,0.333,0.438,2.0,2.0,1.0,1.5,2.5,4.0,1.5,1.0,0.5,0.5,5.5,2024-25,20,0,0.56,4.75,0
Ben Simmons,BRK,17.0,24.0,2.6,4.4,0.608,0.0,,2.6,0.608,0.608,0.2,0.5,0.5,1.1,4.8,5.8,6.7,0.9,0.6,2.5,5.5,2024-25,20,0,0.6,0.88,0
Kobe Bufkin,ATL,9.0,13.3,1.8,4.9,0.364,0.4,0.222,1.3,0.462,0.409,1.4,2.0,0.722,0.6,1.6,2.1,1.9,0.3,0.2,0.8,5.4,2024-25,17,0,0.47,0.6,0
Kevon Looney,GSW,19.0,16.1,2.3,4.4,0.512,0.0,,2.3,0.512,0.512,0.9,1.9,0.459,3.7,4.3,8.0,1.7,0.9,0.3,0.8,5.4,2024-25,9,0,0.52,0.65,0
Trey Lyles,SAC,18.0,19.6,1.8,5.1,0.363,1.2,0.333,0.6,0.44,0.484,0.6,0.8,0.714,0.8,3.1,3.9,0.9,0.6,0.6,0.6,5.4,2024-25,19,0,0.5,0.41,0
Alec Burks,MIA,12.0,15.1,1.8,3.8,0.457,1.3,0.469,0.5,0.429,0.62,0.5,0.7,0.75,0.3,1.6,1.9,1.3,0.5,0.3,0.2,5.3,2024-25,11,0,0.65,0.58,0
Antonio Reeves,NOP,12.0,10.8,2.1,5.1,0.41,0.7,0.267,1.4,0.548,0.475,0.5,0.6,0.857,0.3,1.0,1.3,0.4,0.3,0.0,0.3,5.3,2024-25,29,0,0.49,0.33,0
Vince Williams Jr.,MEM,3.0,15.0,2.3,6.3,0.368,0.3,0.125,2.0,0.545,0.395,0.3,1.3,0.25,1.3,2.3,3.7,3.0,0.0,0.7,2.3,5.3,2024-25,4,0,0.39,1.8,0
Kyle Anderson,GSW,20.0,15.2,2.1,5.0,0.41,0.5,0.265,1.6,0.485,0.455,0.7,1.0,0.65,0.6,2.7,3.2,2.6,0.9,0.5,0.6,5.2,2024-25,9,0,0.48,0.43,0
Matas Buzelis,CHI,22.0,12.0,1.8,4.4,0.417,0.9,0.38,1.0,0.457,0.516,0.7,1.0,0.762,0.5,2.0,2.5,0.3,0.4,0.6,0.7,5.2,2024-25,22,0,0.54,0.25,0
Alex Caruso,OKC,14.0,19.6,2.1,5.7,0.363,0.7,0.238,1.4,0.5,0.425,0.4,0.5,0.714,0.6,2.4,3.0,2.1,1.9,0.7,0.7,5.2,2024-25,3,0,0.44,0.61,0
Torrey Craig,CHI,6.0,11.2,1.8,3.7,0.5,1.2,0.389,0.7,1.0,0.659,0.3,0.3,1.0,0.5,1.7,2.2,0.5,0.2,0.2,0.0,5.2,2024-25,22,0,0.68,1.07,0
Jarace Walker,IND,23.0,17.9,1.7,4.3,0.4,0.9,0.37,0.9,0.435,0.5,0.8,1.3,0.613,0.5,3.0,3.5,1.5,1.3,0.3,1.4,5.2,2024-25,21,0,0.53,0.32,0
Jamal Cain,NOP,13.0,14.7,1.8,3.8,0.48,0.7,0.36,1.2,0.6,0.57,0.7,1.1,0.643,0.8,1.9,2.8,0.7,0.5,0.5,0.5,5.1,2024-25,29,0,0.6,0.52,0
Monte Morris,PHO,16.0,11.3,1.8,3.8,0.475,0.8,0.414,1.1,0.531,0.574,0.8,0.9,0.857,0.2,1.1,1.3,1.6,0.4,0.2,0.3,5.1,2024-25,14,0,0.61,0.39,0
Dean Wade,CLE,15.0,21.5,1.7,4.7,0.366,1.3,0.317,0.5,0.636,0.5,0.3,1.0,0.333,0.5,3.9,4.4,1.5,0.9,0.3,0.3,5.1,2024-25,1,0,0.5,0.55,0
Cam Christie,LAC,1.0,18.0,2.0,7.0,0.286,1.0,0.25,1.0,0.333,0.357,0.0,0.0,,1.0,2.0,3.0,0.0,2.0,0.0,1.0,5.0,2024-25,10,0,0.36,4.0,0
Micah Potter,UTA,3.0,20.0,1.7,4.0,0.417,1.7,0.5,0.0,0.0,0.625,0.0,0.0,,3.0,4.0,7.0,1.0,0.3,0.3,1.3,5.0,2024-25,28,0,0.62,3.33,0
Tidjane Salaün,CHO,20.0,18.8,1.7,5.1,0.327,1.0,0.294,0.7,0.394,0.426,0.7,1.0,0.737,0.9,3.2,4.1,1.0,0.6,0.2,0.8,5.0,2024-25,26,0,0.45,0.32,0
Alondes Williams,DET,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2024-25,23,0,1.25,6.0,0
Mark Williams,CHO,2.0,9.5,2.0,5.0,0.4,0.0,,2.0,0.4,0.4,1.0,1.0,1.0,1.5,2.5,4.0,0.5,0.5,0.5,0.5,5.0,2024-25,26,0,0.46,3.5,0
Mo Bamba,LAC,10.0,13.6,1.9,4.3,0.442,0.5,0.25,1.4,0.609,0.5,0.6,0.9,0.667,0.7,3.2,3.9,0.8,0.7,1.2,0.7,4.9,2024-25,10,0,0.52,0.81,0
Pat Connaughton,MIL,15.0,17.0,1.7,4.7,0.371,0.9,0.295,0.9,0.5,0.464,0.6,0.8,0.75,0.5,2.5,3.0,1.7,0.2,0.3,0.7,4.9,2024-25,16,0,0.48,0.41,0
Seth Curry,CHO,21.0,12.8,1.8,3.8,0.475,0.9,0.452,0.9,0.5,0.594,0.3,0.4,0.778,0.4,1.0,1.4,0.4,0.4,0.2,0.3,4.9,2024-25,26,0,0.62,0.23,0
Isaac Jones,SAC,13.0,9.9,2.2,3.2,0.683,0.1,0.333,2.1,0.711,0.695,0.5,1.2,0.467,0.6,1.2,1.8,0.2,0.1,0.5,0.6,4.9,2024-25,19,0,0.66,0.4,0
Paul Reed,DET,11.0,10.0,1.7,3.0,0.576,0.4,0.444,1.4,0.625,0.636,1.1,1.4,0.8,0.6,1.5,2.1,0.5,0.7,0.5,0.8,4.9,2024-25,23,0,0.68,0.57,0
Cole Anthony,ORL,21.0,9.9,1.6,4.0,0.388,0.6,0.316,1.0,0.447,0.459,1.1,1.5,0.719,0.3,1.8,2.1,1.7,0.4,0.0,1.1,4.8,2024-25,7,0,0.52,0.24,0
Eric Gordon,PHI,16.0,16.5,1.6,4.8,0.325,0.6,0.238,0.9,0.429,0.39,1.1,1.4,0.773,0.2,0.8,0.9,1.3,0.6,0.3,0.8,4.8,2024-25,25,0,0.44,0.22,0
Sandro Mamukelashvili,SAS,16.0,8.9,1.7,2.9,0.574,0.9,0.469,0.8,0.8,0.734,0.5,0.6,0.889,0.5,2.2,2.7,0.3,0.2,0.3,0.6,4.8,2024-25,18,0,0.76,0.4,0
KJ Simpson,CHO,6.0,15.2,1.7,5.3,0.313,0.5,0.176,1.2,0.467,0.359,1.0,1.3,0.75,1.3,1.0,2.3,2.7,0.7,0.2,1.3,4.8,2024-25,26,0,0.41,0.92,0
Jared Butler,WAS,15.0,9.1,1.8,4.1,0.435,0.1,0.167,1.7,0.5,0.452,1.0,1.4,0.714,0.1,0.4,0.5,2.3,0.4,0.1,0.5,4.7,2024-25,30,0,0.5,0.32,0
Taylor Hendricks,UTA,3.0,25.0,1.3,6.0,0.222,1.0,0.25,0.3,0.167,0.306,1.0,1.3,0.75,1.7,3.3,5.0,0.7,1.7,1.3,0.7,4.7,2024-25,28,0,0.36,2.57,0
Wendell Moore Jr.,DET,11.0,14.9,1.7,3.2,0.543,0.3,0.333,1.5,0.615,0.586,1.0,1.1,0.917,0.8,2.5,3.3,1.1,0.6,0.3,0.7,4.7,2024-25,23,0,0.64,0.7,0
Gary Payton II,GSW,21.0,12.5,2.1,3.7,0.577,0.2,0.182,2.0,0.732,0.603,0.2,0.4,0.625,1.0,1.4,2.3,1.1,0.7,0.3,0.4,4.7,2024-25,9,0,0.61,0.33,0
Keaton Wallace,ATL,12.0,16.2,1.8,4.6,0.4,0.7,0.308,1.2,0.483,0.473,0.3,0.3,1.0,0.2,1.3,1.5,1.8,0.8,0.5,1.0,4.7,2024-25,17,0,0.5,0.46,0
Oso Ighodaro,PHO,16.0,17.3,2.0,3.1,0.64,0.0,,2.0,0.64,0.64,0.6,0.8,0.769,1.0,2.9,3.9,0.9,0.4,0.4,0.7,4.6,2024-25,14,0,0.67,0.51,0
Julian Phillips,CHI,22.0,15.0,1.6,4.0,0.409,0.8,0.315,0.9,0.559,0.506,0.6,1.0,0.619,0.8,1.4,2.2,0.5,0.7,0.3,0.4,4.6,2024-25,22,0,0.52,0.23,0
Mason Plumlee,PHO,20.0,17.4,1.8,3.2,0.571,0.0,,1.8,0.571,0.571,1.0,1.9,0.526,1.5,4.4,5.9,1.7,0.4,0.7,0.9,4.6,2024-25,14,0,0.57,0.5,0
Lonzo Ball,CHI,6.0,16.2,1.7,4.3,0.385,1.2,0.318,0.5,0.75,0.519,0.0,0.0,,0.2,2.3,2.5,3.5,1.2,0.5,0.8,4.5,2024-25,22,0,0.52,1.47,0
Luke Kornet,BOS,17.0,17.5,1.8,2.8,0.638,0.0,,1.8,0.638,0.638,1.0,1.1,0.895,1.8,2.5,4.4,1.6,0.6,1.2,0.4,4.5,2024-25,2,0,0.69,0.64,0
Jamal Shead,TOR,23.0,14.1,1.8,4.7,0.38,0.6,0.295,1.2,0.438,0.44,0.4,0.5,0.75,0.1,0.8,0.9,2.8,0.4,0.1,1.3,4.5,2024-25,27,0,0.46,0.19,0
Dalen Terry,CHI,23.0,13.8,1.6,3.1,0.5,0.4,0.36,1.2,0.574,0.563,1.0,1.2,0.786,0.7,0.7,1.4,1.0,0.6,0.3,0.9,4.5,2024-25,22,0,0.62,0.23,0
Ricky Council IV,PHI,17.0,11.8,1.5,3.6,0.41,0.4,0.259,1.1,0.529,0.467,1.1,1.2,0.857,0.3,1.2,1.5,0.8,0.2,0.2,0.2,4.4,2024-25,25,0,0.53,0.28,0
Thomas Bryant,MIA,9.0,12.0,1.3,3.1,0.429,0.7,0.353,0.7,0.545,0.536,1.0,1.0,1.0,0.7,2.8,3.4,0.4,0.1,0.8,0.2,4.3,2024-25,11,0,0.61,0.78,0
Reggie Jackson,PHI,10.0,11.9,1.6,3.9,0.41,1.1,0.44,0.5,0.357,0.551,0.0,0.0,,0.1,0.8,0.9,2.1,0.6,0.3,0.7,4.3,2024-25,25,0,0.55,0.52,0
Kris Murray,POR,19.0,12.9,1.7,3.7,0.457,0.5,0.313,1.2,0.579,0.529,0.4,1.0,0.368,1.1,1.3,2.3,0.6,0.5,0.2,0.6,4.3,2024-25,24,0,0.52,0.25,0
Svi Mykhailiuk,UTA,4.0,12.3,1.3,3.8,0.333,1.0,0.308,0.3,0.5,0.467,0.8,1.0,0.75,0.0,0.3,0.3,1.0,1.0,0.3,1.8,4.3,2024-25,28,0,0.51,0.6,0
Blake Wesley,SAS,18.0,11.6,1.6,3.7,0.439,0.2,0.2,1.4,0.543,0.47,0.7,1.1,0.684,0.3,0.6,0.8,1.5,0.4,0.1,1.1,4.2,2024-25,18,0,0.5,0.19,0
Marvin Bagley III,WAS,14.0,6.7,1.7,3.2,0.533,0.1,0.25,1.6,0.595,0.556,0.6,0.8,0.727,1.1,1.4,2.5,0.2,0.3,0.1,0.6,4.1,2024-25,30,0,0.58,0.35,0
Drew Eubanks,UTA,18.0,13.6,1.7,3.0,0.556,0.1,0.333,1.6,0.569,0.565,0.7,1.2,0.571,1.2,2.7,3.9,1.2,0.2,0.6,0.9,4.1,2024-25,28,0,0.58,0.41,0
Gary Harris,ORL,17.0,16.6,1.4,3.5,0.4,1.0,0.37,0.4,0.5,0.542,0.2,0.4,0.667,0.5,0.8,1.4,0.4,0.5,0.3,0.4,4.1,2024-25,7,0,0.56,0.24,0
Tre Jones,SAS,8.0,17.5,1.3,3.8,0.333,0.4,0.25,0.9,0.389,0.383,1.3,1.8,0.714,0.6,1.8,2.4,3.3,0.6,0.3,0.6,4.1,2024-25,18,0,0.45,0.89,0
Jae Crowder,SAC,5.0,16.8,1.2,3.4,0.353,0.6,0.25,0.6,0.6,0.441,1.0,1.2,0.833,1.0,2.0,3.0,0.8,0.6,0.0,0.6,4.0,2024-25,19,0,0.51,1.08,0
Luka Garza,MIN,6.0,5.2,1.7,3.0,0.556,0.2,0.2,1.5,0.692,0.583,0.5,1.0,0.5,0.5,0.8,1.3,0.0,0.2,0.0,0.3,4.0,2024-25,15,0,0.58,0.57,0
Richaun Holmes,WAS,3.0,6.7,1.7,3.3,0.5,0.0,0.0,1.7,0.556,0.5,0.7,0.7,1.0,0.7,1.0,1.7,0.0,0.0,0.7,0.7,4.0,2024-25,30,0,0.55,1.37,0
Josh Richardson,MIA,8.0,18.8,1.4,4.8,0.289,0.8,0.273,0.6,0.313,0.368,0.5,0.5,1.0,0.8,0.8,1.5,1.5,1.0,0.1,1.0,4.0,2024-25,11,0,0.4,0.46,0
Reed Sheppard,HOU,23.0,11.8,1.5,4.1,0.368,0.7,0.321,0.8,0.429,0.458,0.2,0.2,1.0,0.3,0.8,1.1,1.3,0.5,0.3,0.6,4.0,2024-25,6,0,0.48,0.17,0
Aaron Holiday,HOU,13.0,8.8,1.3,2.7,0.486,0.9,0.462,0.4,0.556,0.657,0.4,0.5,0.714,0.0,1.0,1.0,1.2,0.1,0.1,0.2,3.9,2024-25,6,0,0.67,0.35,0
Jock Landale,HOU,14.0,11.1,1.5,3.4,0.447,0.2,0.5,1.3,0.439,0.479,0.7,1.4,0.526,1.4,1.9,3.3,1.0,0.2,0.4,0.5,3.9,2024-25,6,0,0.49,0.41,0
Rob Dillingham,MIN,11.0,8.4,1.6,3.3,0.5,0.5,0.5,1.1,0.5,0.583,0.0,0.0,,0.1,0.7,0.8,1.5,0.0,0.0,1.1,3.8,2024-25,15,0,0.58,0.3,0
Jett Howard,ORL,22.0,10.2,1.4,3.7,0.366,1.0,0.323,0.4,0.529,0.494,0.1,0.1,1.0,0.5,0.8,1.3,0.4,0.1,0.3,0.3,3.8,2024-25,7,0,0.51,0.15,0
Damion Lee,PHO,4.0,9.3,1.0,3.5,0.286,0.3,0.111,0.8,0.6,0.321,1.5,1.5,1.0,0.0,1.3,1.3,1.3,0.5,0.0,0.8,3.8,2024-25,14,0,0.46,0.9,0
Nicolas Batum,LAC,24.0,17.6,1.3,3.3,0.38,1.0,0.371,0.3,0.412,0.525,0.3,0.3,0.75,0.8,1.9,2.7,1.5,0.3,0.5,0.4,3.7,2024-25,10,0,0.54,0.26,0
Bruno Fernando,TOR,15.0,9.4,1.7,3.1,0.532,0.0,,1.7,0.532,0.532,0.4,0.5,0.75,1.4,1.9,3.3,1.2,0.2,0.6,0.9,3.7,2024-25,27,0,0.56,0.44,0
Patty Mills,UTA,9.0,15.3,1.2,3.4,0.355,0.8,0.292,0.4,0.571,0.468,0.3,0.3,1.0,0.1,0.8,0.9,1.4,0.7,0.2,0.9,3.6,2024-25,28,0,0.51,0.41,0
