Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Jameel Warney,DAL,3.0,9.0,2.3,4.0,0.583,0.0,,2.3,0.583,0.583,1.0,1.7,0.6,1.3,1.7,3.0,0.0,0.0,0.0,0.3,5.7,2017-18,0.6,2.0,0,28,0
Cristiano Felício,CHI,55.0,17.8,2.3,3.9,0.591,0.0,0.0,2.3,0.596,0.591,1.0,1.5,0.667,1.5,2.7,4.2,1.0,0.3,0.2,1.0,5.6,2017-18,0.61,0.15,0,24,0
Ivan Rabb,MEM,36.0,14.3,2.4,4.2,0.566,0.0,,2.4,0.566,0.566,0.8,1.0,0.806,1.5,2.9,4.4,0.9,0.3,0.4,1.0,5.6,2017-18,0.6,0.24,0,29,0
Omari Johnson,MEM,4.0,18.8,2.3,5.3,0.429,1.0,0.333,1.3,0.556,0.524,0.0,0.0,,1.0,1.8,2.8,1.8,0.5,0.0,0.8,5.5,2017-18,0.52,1.7,0,29,0
Shaun Livingston,GSW,71.0,15.9,2.4,4.8,0.501,0.0,0.0,2.4,0.509,0.501,0.7,0.9,0.82,0.5,1.4,1.8,2.0,0.5,0.3,0.8,5.5,2017-18,0.53,0.09,0,3,1
Norman Powell,TOR,70.0,15.2,2.1,5.3,0.401,0.8,0.285,1.4,0.516,0.472,0.5,0.6,0.821,0.2,1.5,1.7,1.3,0.5,0.2,0.9,5.5,2017-18,0.49,0.07,0,2,1
C.J. Williams,LAC,38.0,18.6,2.3,5.2,0.442,0.6,0.282,1.7,0.546,0.497,0.3,0.4,0.813,0.3,1.2,1.5,1.1,0.8,0.3,0.5,5.5,2017-18,0.51,0.15,0,18,0
Wade Baldwin,POR,7.0,11.4,2.0,3.0,0.667,0.6,0.8,1.4,0.625,0.762,0.9,1.4,0.6,0.1,1.0,1.1,0.7,0.3,0.1,0.6,5.4,2017-18,0.75,0.79,0,7,1
Vince Carter,SAC,58.0,17.7,2.0,4.9,0.403,1.0,0.345,1.0,0.483,0.504,0.5,0.6,0.757,0.3,2.2,2.6,1.2,0.7,0.4,0.6,5.4,2017-18,0.52,0.12,0,25,0
Pat Connaughton,POR,82.0,18.1,2.0,4.8,0.423,0.9,0.352,1.1,0.506,0.518,0.5,0.5,0.841,0.4,1.5,2.0,1.1,0.3,0.3,0.5,5.4,2017-18,0.54,0.07,0,7,1
