Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Al Horford,38.0,BOS,C,17.0,16.0,28.0,3.5,7.4,0.476,2.3,5.4,0.424,1.2,2.0,0.618,0.631,0.4,0.4,1.0,0.9,4.1,5.1,2.4,0.8,0.9,1.0,1.6,9.7,,2024-25
Obi Toppin,26.0,IND,PF,22.0,0.0,20.0,3.9,7.3,0.534,1.0,3.3,0.306,2.9,4.0,0.719,0.602,0.9,1.0,0.87,0.8,2.9,3.7,1.6,0.6,0.4,0.7,1.3,9.7,,2024-25
Luguentz Dort,25.0,OKC,SF,22.0,22.0,29.2,3.3,8.1,0.404,2.0,5.3,0.379,1.3,2.8,0.452,0.528,1.1,1.3,0.828,1.4,3.1,4.5,1.9,1.1,0.9,0.6,3.0,9.6,,2024-25
Caleb Martin,29.0,PHI,SF,18.0,15.0,31.1,3.3,8.2,0.405,0.8,2.8,0.294,2.5,5.4,0.464,0.456,2.1,3.1,0.661,1.4,3.4,4.9,2.4,1.1,0.5,1.9,1.8,9.6,,2024-25
Trendon Watford,24.0,BRK,PF,10.0,0.0,18.5,3.2,7.4,0.432,0.7,2.5,0.28,2.5,4.9,0.51,0.48,2.5,3.0,0.833,0.4,2.9,3.3,1.3,0.5,0.4,1.6,2.8,9.6,,2024-25
Robert Williams,27.0,POR,C,7.0,1.0,18.7,3.9,5.4,0.711,0.1,0.3,0.5,3.7,5.1,0.722,0.724,1.7,1.9,0.923,2.1,3.9,6.0,1.4,1.1,1.9,1.0,1.0,9.6,,2024-25
Isaiah Joe,25.0,OKC,SG,20.0,9.0,22.2,3.4,8.0,0.419,2.5,6.3,0.389,0.9,1.7,0.529,0.572,0.4,0.5,0.7,0.6,2.2,2.8,1.7,0.8,0.3,0.5,1.8,9.5,,2024-25
Peyton Watson,22.0,DEN,SF,20.0,11.0,25.3,3.5,7.1,0.486,0.9,2.4,0.375,2.6,4.7,0.543,0.549,1.7,2.1,0.786,1.0,2.5,3.5,1.3,0.8,1.0,0.9,2.1,9.5,,2024-25
Nickeil Alexander-Walker,26.0,MIN,SG,21.0,2.0,24.3,3.4,6.7,0.504,1.7,3.8,0.438,1.7,2.9,0.59,0.628,1.0,1.3,0.778,0.7,2.1,2.8,2.6,1.0,0.4,1.5,1.7,9.4,,2024-25
Toumani Camara,24.0,POR,PF,22.0,22.0,31.0,3.5,8.2,0.425,1.6,4.2,0.391,1.9,4.0,0.461,0.525,0.8,1.1,0.68,2.2,3.0,5.2,2.2,1.5,0.4,1.6,3.0,9.4,,2024-25
Carlton Carrington,19.0,WAS,PG,20.0,12.0,28.2,3.4,8.4,0.407,1.5,4.3,0.349,1.9,4.1,0.469,0.497,1.0,1.3,0.8,0.2,3.8,4.0,4.1,1.1,0.3,2.0,3.1,9.3,,2024-25
Jaime Jaquez Jr.,23.0,MIA,SF,16.0,1.0,21.9,3.4,8.0,0.43,0.6,2.0,0.313,2.8,6.0,0.469,0.469,1.8,2.6,0.69,1.6,4.0,5.6,2.4,1.1,0.1,1.5,1.4,9.3,,2024-25
Jay Huff,26.0,MEM,C,23.0,1.0,15.2,3.2,6.1,0.525,1.7,3.9,0.422,1.6,2.2,0.706,0.66,1.1,1.5,0.714,0.5,1.9,2.4,0.8,0.3,1.3,0.6,1.5,9.2,,2024-25
Aaron Nesmith,25.0,IND,SF,6.0,6.0,22.7,3.2,6.0,0.528,1.0,1.8,0.545,2.2,4.2,0.52,0.611,1.8,2.2,0.846,0.7,3.3,4.0,1.0,0.7,0.3,0.8,4.0,9.2,,2024-25
Nic Claxton,25.0,BRK,C,17.0,9.0,24.8,4.1,6.2,0.651,0.1,0.1,0.5,4.0,6.1,0.654,0.656,0.9,2.2,0.421,1.9,5.8,7.6,2.2,0.6,1.2,1.3,2.5,9.1,,2024-25
Quentin Grimes,24.0,DAL,SG,21.0,7.0,20.6,3.1,6.3,0.496,1.6,3.6,0.434,1.6,2.7,0.579,0.62,1.2,1.8,0.684,0.6,3.0,3.7,1.5,0.8,0.2,1.2,1.9,9.1,,2024-25
Dereck Lively II,20.0,DAL,C,18.0,11.0,22.9,3.8,5.4,0.694,0.0,0.0,,3.8,5.4,0.694,0.694,1.5,2.5,0.6,3.1,4.5,7.6,2.3,0.6,1.6,1.2,3.0,9.1,,2024-25
