Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Leon Douglas,KCK,79.0,17.2,2.3,4.1,0.573,0.0,0.0,2.3,0.578,0.573,1.3,2.4,0.548,1.9,3.0,4.9,0.9,0.3,0.5,1.1,6.0,1980-81,0.58,0.11,0,-1,0
Sam Pellom,ATL,77.0,19.1,2.4,4.9,0.489,0.0,0.0,2.4,0.491,0.489,1.1,1.5,0.698,1.6,3.0,4.6,0.6,0.6,1.2,1.3,5.9,1980-81,0.53,0.11,0,22,0
Ron Davis,SDC,64.0,12.8,2.2,4.9,0.443,0.0,0.25,2.1,0.448,0.446,1.5,2.5,0.595,0.7,1.1,1.9,0.7,0.6,0.2,1.0,5.8,1980-81,0.48,0.07,0,20,0
Glen Gondrezick,DEN,73.0,14.8,2.1,4.5,0.471,0.0,0.0,2.1,0.474,0.471,1.5,1.9,0.818,1.9,2.3,4.2,1.1,1.2,0.3,0.9,5.8,1980-81,0.54,0.12,0,19,0
Mark Landsberger,LAL,69.0,15.7,2.4,4.7,0.502,0.0,0.0,2.4,0.503,0.502,0.9,1.7,0.534,2.2,3.3,5.5,0.4,0.3,0.1,0.9,5.7,1980-81,0.52,0.12,0,9,1
Foots Walker,NJN,41.0,28.6,1.8,4.1,0.426,0.0,0.222,1.7,0.438,0.432,2.1,2.7,0.793,0.5,2.0,2.5,6.2,1.3,0.0,2.1,5.7,1980-81,0.54,0.26,0,25,0
Michael Wiley,SAS,33.0,8.2,2.3,4.2,0.551,0.0,0.0,2.3,0.559,0.551,1.1,1.5,0.75,0.7,1.3,1.9,0.3,0.2,0.2,0.8,5.7,1980-81,0.59,0.16,0,10,1
Butch Carter,LAL,54.0,12.4,2.1,4.6,0.462,0.1,0.3,2.1,0.468,0.468,1.3,1.8,0.737,0.6,0.6,1.2,1.0,0.4,0.0,0.9,5.6,1980-81,0.52,0.08,0,9,1
Bill Hanzlik,SEA,74.0,17.0,1.9,3.9,0.478,0.0,0.2,1.9,0.482,0.479,1.6,2.0,0.793,0.9,1.2,2.1,1.5,0.8,0.3,1.1,5.4,1980-81,0.56,0.09,0,21,0
Alvin Scott,PHO,82.0,17.4,2.1,4.2,0.497,0.0,0.167,2.1,0.503,0.499,1.2,1.5,0.764,1.2,2.0,3.3,1.4,0.7,0.9,0.9,5.4,1980-81,0.56,0.1,0,8,1
Eddie Jordan,2TM,74.0,16.6,2.0,4.8,0.426,0.1,0.273,1.9,0.436,0.435,1.2,1.7,0.685,0.4,0.9,1.3,3.3,1.3,0.1,1.9,5.3,1980-81,0.48,0.08,0,-1,0
James Donaldson,SEA,68.0,14.4,1.9,3.5,0.542,0.0,,1.9,0.542,0.542,1.5,2.5,0.594,1.6,3.0,4.5,0.6,0.1,1.1,1.0,5.3,1980-81,0.58,0.12,0,21,0
Tom Henderson,HOU,66.0,21.4,2.1,5.0,0.413,0.0,0.0,2.1,0.416,0.413,1.2,1.4,0.821,0.5,1.1,1.6,4.7,0.8,0.1,1.4,5.3,1980-81,0.47,0.12,0,16,1
