Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Tacko Fall,BOS,19.0,7.2,1.1,1.5,0.724,0.0,,1.1,0.724,0.724,0.3,0.8,0.333,0.8,1.9,2.7,0.2,0.1,1.1,0.3,2.5,2020-21,0.67,0.28,
Rondae Hollis-Jefferson,POR,11.0,9.7,0.8,1.6,0.5,0.0,0.0,0.8,0.529,0.5,0.8,1.5,0.563,1.0,1.4,2.4,1.2,0.2,0.4,0.2,2.5,2020-21,0.55,0.45,
Tre Jones,SAS,37.0,7.3,1.0,2.1,0.474,0.1,0.6,0.9,0.466,0.494,0.5,0.5,0.895,0.2,0.4,0.6,1.1,0.2,0.0,0.4,2.5,2020-21,0.54,0.08,
KZ Okpala,MIA,37.0,12.1,1.0,2.6,0.375,0.3,0.24,0.6,0.522,0.438,0.2,0.4,0.533,0.6,1.3,1.8,0.5,0.3,0.3,0.4,2.5,2020-21,0.45,0.09,
Gary Payton II,GSW,10.0,4.0,1.0,1.3,0.769,0.2,0.5,0.8,0.889,0.846,0.3,0.4,0.75,0.2,0.9,1.1,0.1,0.6,0.1,0.1,2.5,2020-21,0.85,0.39,
Mfiondu Kabengele,2TM,39.0,7.2,0.8,2.3,0.371,0.3,0.26,0.5,0.513,0.444,0.4,0.5,0.8,0.3,1.2,1.5,0.4,0.2,0.3,0.4,2.4,2020-21,0.48,0.07,
Wes Iwundu,2TM,41.0,13.1,0.8,2.5,0.333,0.1,0.122,0.7,0.475,0.358,0.6,0.8,0.839,0.4,1.8,2.2,0.4,0.4,0.1,0.5,2.4,2020-21,0.42,0.08,
Vernon Carey Jr.,CHO,19.0,6.1,0.9,1.9,0.5,0.1,0.143,0.9,0.586,0.514,0.5,0.6,0.818,0.3,1.1,1.4,0.1,0.1,0.3,0.3,2.4,2020-21,0.55,0.15,
Jeremiah Martin,CLE,9.0,8.3,1.0,3.7,0.273,0.3,0.25,0.7,0.286,0.318,0.1,0.6,0.2,0.2,0.6,0.8,0.4,0.6,0.2,0.7,2.4,2020-21,0.3,0.06,
Rayjon Tucker,PHI,14.0,4.9,0.6,1.3,0.5,0.1,0.286,0.5,0.636,0.556,1.0,1.4,0.737,0.1,0.7,0.8,0.4,0.1,0.0,0.3,2.4,2020-21,0.63,0.16,
Jarrell Brantley,UTA,28.0,4.9,0.9,1.9,0.481,0.4,0.429,0.5,0.542,0.596,0.1,0.1,1.0,0.3,0.6,1.0,0.5,0.3,0.1,0.3,2.3,2020-21,0.59,0.1,
CJ Elleby,POR,30.0,6.4,0.8,2.2,0.379,0.2,0.206,0.6,0.563,0.432,0.4,0.5,0.733,0.4,0.7,1.1,0.3,0.2,0.1,0.2,2.3,2020-21,0.48,0.08,
Justin Robinson,OKC,9.0,9.8,0.8,2.3,0.333,0.4,0.286,0.3,0.429,0.429,0.3,0.6,0.6,0.1,0.7,0.8,1.0,0.3,0.0,0.2,2.3,2020-21,0.45,0.27,
Quinndary Weatherspoon,SAS,20.0,6.1,0.8,1.8,0.457,0.1,0.167,0.8,0.517,0.471,0.7,0.8,0.813,0.2,0.4,0.6,0.4,0.4,0.1,0.5,2.3,2020-21,0.53,0.11,
Bol Bol,DEN,32.0,5.0,0.8,1.8,0.431,0.3,0.375,0.5,0.471,0.509,0.3,0.5,0.667,0.0,0.8,0.8,0.2,0.1,0.3,0.4,2.2,2020-21,0.54,0.06,
Sean McDermott,MEM,18.0,8.8,0.7,1.8,0.394,0.3,0.227,0.4,0.727,0.47,0.4,0.4,1.0,0.3,0.7,1.1,0.2,0.1,0.2,0.2,2.2,2020-21,0.56,0.14,
Shaquille Harrison,2TM,34.0,9.8,0.8,2.3,0.333,0.1,0.188,0.7,0.371,0.353,0.5,0.6,0.818,0.2,1.2,1.4,0.7,0.5,0.1,0.3,2.1,2020-21,0.41,0.09,
Chris Silva,2TM,15.0,6.1,0.7,1.1,0.625,0.1,1.0,0.6,0.6,0.656,0.7,1.0,0.733,0.5,1.3,1.8,0.4,0.1,0.4,0.7,2.1,2020-21,0.68,0.23,
Vlatko Čančar,DEN,41.0,6.9,0.8,1.8,0.458,0.2,0.273,0.6,0.615,0.521,0.2,0.3,0.769,0.3,1.0,1.2,0.3,0.3,0.0,0.3,2.1,2020-21,0.54,0.06,
