Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated
Derrick Coleman,NJN,56.0,37.6,6.6,15.6,0.424,0.5,0.233,6.1,0.454,0.44,6.7,8.8,0.767,3.0,7.6,10.6,3.3,0.6,1.7,3.1,20.5,1994-95,0.53,0.4,0
Isaiah Rider,MIN,75.0,35.3,7.4,16.7,0.447,1.9,0.351,5.6,0.491,0.502,3.7,4.5,0.817,1.2,2.1,3.3,3.3,0.9,0.3,3.1,20.4,1994-95,0.55,0.2,0
Tim Hardaway,GSW,62.0,37.4,6.9,16.2,0.427,2.7,0.378,4.2,0.465,0.51,3.5,4.6,0.76,0.7,2.3,3.1,9.3,1.4,0.2,3.5,20.1,1994-95,0.55,0.33,0
Chris Webber,WSB,54.0,38.3,8.6,17.4,0.495,0.7,0.276,7.9,0.535,0.516,2.2,4.3,0.502,3.7,5.9,9.6,4.7,1.5,1.6,3.1,20.1,1994-95,0.52,0.44,0
Grant Hill,DET,70.0,38.3,7.3,15.2,0.477,0.1,0.148,7.2,0.486,0.479,5.3,7.3,0.732,1.8,4.6,6.4,5.0,1.8,0.9,2.9,19.9,1994-95,0.54,0.3,0
Reggie Miller,IND,81.0,32.9,6.2,13.5,0.462,2.4,0.415,3.8,0.498,0.552,4.7,5.3,0.897,0.4,2.2,2.6,3.0,1.2,0.2,1.9,19.6,1994-95,0.62,0.21,0
Detlef Schrempf,SEA,82.0,35.2,6.4,12.2,0.523,1.1,0.514,5.2,0.525,0.569,5.3,6.4,0.839,1.6,4.5,6.2,3.8,1.1,0.4,2.1,19.2,1994-95,0.64,0.26,0
Chris Mullin,GSW,25.0,35.6,6.8,13.9,0.489,1.7,0.452,5.1,0.502,0.549,3.8,4.3,0.879,1.0,3.6,4.6,5.0,1.5,0.8,3.7,19.0,1994-95,0.6,0.78,0
Rod Strickland,POR,64.0,35.4,6.9,14.8,0.466,0.7,0.374,6.2,0.48,0.49,4.4,5.9,0.745,1.1,3.8,5.0,8.8,1.9,0.1,3.3,18.9,1994-95,0.54,0.34,0
Larry Johnson,CHH,81.0,39.9,7.2,15.0,0.48,1.0,0.386,6.2,0.5,0.513,3.4,4.4,0.774,2.3,4.9,7.2,4.6,1.0,0.3,2.6,18.8,1994-95,0.56,0.25,0
Shawn Kemp,SEA,82.0,32.7,6.6,12.2,0.547,0.0,0.286,6.6,0.548,0.548,5.3,7.1,0.749,3.9,7.0,10.9,1.8,1.2,1.5,3.2,18.7,1994-95,0.61,0.29,1
Jeff Malone,PHI,19.0,34.7,7.6,14.9,0.507,0.6,0.393,7.0,0.52,0.526,2.7,3.1,0.864,0.6,2.3,2.9,1.5,0.8,0.0,1.5,18.4,1994-95,0.57,0.76,0
Joe Dumars,DET,67.0,38.0,6.2,14.5,0.43,1.5,0.305,4.7,0.497,0.483,4.1,5.1,0.805,0.7,1.7,2.4,5.5,1.1,0.1,3.3,18.1,1994-95,0.54,0.22,0
Sean Elliott,SAS,81.0,35.3,6.2,13.2,0.468,1.7,0.408,4.5,0.495,0.532,4.0,5.0,0.807,0.8,2.8,3.5,2.5,1.0,0.5,1.9,18.1,1994-95,0.59,0.19,0
Clarence Weatherspoon,PHI,76.0,39.4,7.1,16.3,0.439,0.1,0.19,7.1,0.443,0.44,3.7,5.0,0.751,1.9,5.0,6.9,2.8,1.5,0.9,2.5,18.1,1994-95,0.49,0.23,0
Danny Manning,PHO,46.0,32.8,7.4,13.5,0.547,0.1,0.286,7.3,0.556,0.551,3.0,4.4,0.673,2.1,3.9,6.0,3.3,0.9,1.2,2.6,17.9,1994-95,0.58,0.42,0
Rik Smits,IND,78.0,30.5,7.2,13.6,0.526,0.0,0.0,7.2,0.527,0.526,3.6,4.8,0.753,2.5,5.2,7.7,1.4,0.5,1.0,2.4,17.9,1994-95,0.57,0.24,0
Dominique Wilkins,BOS,77.0,31.5,6.4,15.2,0.424,1.5,0.388,5.0,0.436,0.472,3.5,4.4,0.782,2.0,3.2,5.2,2.2,0.8,0.2,2.2,17.8,1994-95,0.52,0.19,1
Vin Baker,MIL,82.0,41.0,7.2,15.0,0.483,0.1,0.292,7.2,0.487,0.486,3.1,5.3,0.593,3.5,6.8,10.3,3.6,1.0,1.4,2.7,17.7,1994-95,0.51,0.26,0
Kenny Anderson,NJN,72.0,37.3,5.7,14.3,0.399,1.3,0.33,4.4,0.426,0.446,4.8,5.8,0.841,1.0,2.5,3.5,9.4,1.4,0.2,3.1,17.6,1994-95,0.52,0.27,0
Loy Vaught,LAC,80.0,37.1,7.6,14.8,0.514,0.1,0.212,7.5,0.523,0.517,2.2,3.1,0.71,3.3,6.4,9.7,1.7,1.3,0.4,2.1,17.5,1994-95,0.54,0.26,0
Kevin Willis,2TM,67.0,35.7,7.1,15.1,0.466,0.0,0.2,7.0,0.47,0.467,3.1,4.4,0.69,3.4,7.5,10.9,1.3,0.9,0.5,2.4,17.2,1994-95,0.5,0.29,1
Mookie Blaylock,ATL,80.0,38.4,6.4,15.0,0.425,2.5,0.359,3.9,0.482,0.508,2.0,2.7,0.729,1.5,3.5,4.9,7.7,2.5,0.3,3.0,17.2,1994-95,0.53,0.25,1
Dino Radja,BOS,66.0,32.5,6.8,13.9,0.49,0.0,0.0,6.8,0.49,0.49,3.5,4.7,0.759,2.3,6.4,8.7,1.7,0.9,1.3,2.4,17.2,1994-95,0.54,0.29,0
Juwan Howard,WSB,65.0,36.1,7.0,14.3,0.489,0.0,0.0,7.0,0.492,0.489,3.0,4.5,0.664,2.8,5.6,8.4,2.5,0.8,0.2,2.6,17.0,1994-95,0.52,0.27,0
Nick Van Exel,LAL,80.0,36.8,5.8,13.8,0.42,2.3,0.358,3.5,0.473,0.503,2.9,3.8,0.783,0.3,2.5,2.8,8.3,1.2,0.1,2.8,16.9,1994-95,0.55,0.22,0
Calbert Cheaney,WSB,78.0,34.0,6.6,14.5,0.453,1.2,0.339,5.3,0.492,0.496,2.2,2.7,0.812,1.3,2.8,4.1,2.3,1.0,0.3,1.9,16.6,1994-95,0.53,0.18,0
Jeff Hornacek,UTA,81.0,33.3,6.0,11.6,0.514,1.1,0.406,4.9,0.547,0.562,3.5,4.0,0.882,0.7,1.9,2.6,4.3,1.6,0.2,1.8,16.5,1994-95,0.62,0.21,0
Walt Williams,SAC,77.0,35.6,5.8,13.0,0.446,1.3,0.348,4.4,0.487,0.497,3.5,4.7,0.731,1.3,3.2,4.5,4.1,1.6,0.8,3.2,16.4,1994-95,0.54,0.21,0
Steve Smith,2TM,80.0,33.3,5.4,12.6,0.426,1.7,0.329,3.6,0.494,0.494,3.9,4.6,0.841,1.3,2.2,3.5,3.4,0.8,0.4,1.9,16.3,1994-95,0.56,0.18,0
Christian Laettner,MIN,81.0,34.2,5.6,11.4,0.489,0.2,0.325,5.4,0.497,0.496,5.0,6.2,0.818,2.0,5.5,7.6,2.9,1.2,1.1,2.8,16.3,1994-95,0.58,0.24,0
Rex Chapman,WSB,45.0,32.6,5.6,14.2,0.397,1.9,0.314,3.7,0.46,0.465,3.0,3.5,0.862,0.5,2.0,2.5,2.8,1.5,0.3,1.4,16.2,1994-95,0.51,0.28,0
Mahmoud Abdul-Rauf,DEN,73.0,28.5,6.5,13.8,0.47,1.1,0.386,5.3,0.492,0.511,1.9,2.1,0.885,0.4,1.4,1.9,3.6,1.1,0.1,1.6,16.0,1994-95,0.54,0.19,0
Todd Day,MIL,82.0,33.1,5.4,12.8,0.424,2.0,0.39,3.4,0.447,0.502,3.1,4.2,0.754,1.2,2.8,3.9,1.6,1.3,0.8,1.9,16.0,1994-95,0.55,0.16,0
Vlade Divac,LAL,80.0,35.1,6.1,12.0,0.507,0.1,0.189,5.9,0.525,0.512,3.7,4.8,0.777,3.3,7.1,10.4,4.1,1.4,2.2,2.6,16.0,1994-95,0.57,0.31,0
Nick Anderson,ORL,76.0,34.1,5.8,12.1,0.476,2.4,0.415,3.4,0.528,0.573,1.9,2.7,0.704,1.1,3.3,4.4,4.1,1.6,0.3,1.9,15.8,1994-95,0.59,0.23,0
Mark Price,CLE,48.0,28.6,5.3,12.8,0.413,2.1,0.407,3.1,0.418,0.498,3.1,3.4,0.914,0.5,1.8,2.3,7.0,0.7,0.1,3.0,15.8,1994-95,0.55,0.31,1
Toni Kukoč,CHI,81.0,31.9,6.0,11.9,0.504,0.8,0.313,5.2,0.553,0.536,2.9,3.9,0.748,1.9,3.5,5.4,4.6,1.3,0.2,2.0,15.7,1994-95,0.58,0.23,0
Dee Brown,BOS,79.0,35.3,5.5,12.4,0.447,1.6,0.385,3.9,0.478,0.512,3.0,3.5,0.852,0.8,2.4,3.2,3.8,1.4,0.6,1.8,15.6,1994-95,0.56,0.19,0
Dan Majerle,PHO,82.0,37.7,5.3,12.6,0.425,2.4,0.363,2.9,0.495,0.521,2.5,3.4,0.73,1.3,3.3,4.6,4.1,1.2,0.5,1.3,15.6,1994-95,0.55,0.2,0
Kevin Johnson,PHO,47.0,28.8,5.2,11.1,0.47,0.1,0.154,5.1,0.487,0.474,5.0,6.1,0.81,0.7,1.8,2.4,7.7,1.0,0.4,2.2,15.5,1994-95,0.56,0.38,1
Terry Mills,DET,72.0,34.9,5.8,13.0,0.447,1.5,0.382,4.3,0.475,0.505,2.4,3.0,0.799,1.7,6.0,7.8,2.2,0.9,0.5,2.0,15.5,1994-95,0.54,0.24,0
Willie Burton,PHI,53.0,29.5,4.6,11.4,0.401,2.0,0.385,2.6,0.414,0.488,4.2,5.0,0.824,0.9,2.2,3.1,1.8,0.6,0.4,2.3,15.3,1994-95,0.56,0.21,0
John Starks,NYK,80.0,34.1,5.2,13.3,0.395,2.7,0.355,2.5,0.448,0.497,2.1,2.9,0.737,0.4,2.3,2.7,5.1,1.2,0.1,2.0,15.3,1994-95,0.52,0.17,0
Armen Gilliam,NJN,82.0,30.1,5.5,11.0,0.503,0.0,0.0,5.5,0.504,0.503,3.7,4.8,0.77,2.3,5.1,7.5,1.2,0.8,1.1,1.9,14.8,1994-95,0.56,0.21,0
Sherman Douglas,BOS,65.0,31.5,5.6,11.8,0.475,0.3,0.244,5.3,0.502,0.488,3.1,4.6,0.689,0.7,1.9,2.6,6.9,1.2,0.0,2.5,14.7,1994-95,0.53,0.23,0
John Stockton,UTA,82.0,35.0,5.2,9.6,0.542,1.2,0.449,4.0,0.58,0.607,3.0,3.7,0.804,0.7,2.4,3.1,12.3,2.4,0.3,3.3,14.7,1994-95,0.65,0.3,1
Allan Houston,DET,76.0,26.3,5.2,11.3,0.463,2.1,0.424,3.2,0.494,0.555,1.9,2.3,0.86,0.4,1.8,2.2,2.2,0.8,0.2,1.5,14.5,1994-95,0.59,0.16,0
Hersey Hawkins,CHH,82.0,33.3,4.8,9.9,0.482,1.6,0.44,3.2,0.507,0.563,3.2,3.7,0.867,0.7,3.1,3.8,3.2,1.5,0.2,1.8,14.3,1994-95,0.62,0.19,0
Billy Owens,MIA,70.0,32.8,5.8,11.7,0.491,0.0,0.091,5.7,0.503,0.493,2.8,4.5,0.62,2.9,4.3,7.2,3.5,1.1,0.4,2.9,14.3,1994-95,0.52,0.23,0
